priority_score,business_name,website,vertical,city,area,has_phone,site_quality,band,verdict,trend,last_graded,next_recheck,worst_fault
78,Bàn Bàn Asian Bistro,http://banbanasianbistro.net/,restaurant,,Montgomery County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ECONNREFUSED)
75,E&S Autoparts,http://esauto.net/,doityourself,Twin Oaks,Delaware County,false,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
75,Go Vertical - Indoor Rock Climbing Gym,http://www.govertical.com/,fitness-centre,Philadelphia,Philadelphia,true,15,broken,rebuild,new,2026-08-06,2026-09-20,server error 503
75,ansarispharma.com,http://ansarispharma.com/index.php,works,,Montgomery County,false,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
74,BG Electric Service LLC,https://www.bgelectricservicellc.com/,electrician,Philadelphia,Philadelphia,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
74,Pennsylvania Dental Group,https://www.padentalgroup.com/,dentist,Philadelphia,Philadelphia,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
74,HaverCrown Dental,https://www.havercrowndental.com/,dentist,Havertown,Delaware County,true,23,broken,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
72,Hortense T. Moss Health Center,http://www.philau.edu/healthservices/,doctor,Philadelphia,Philadelphia,true,11,broken,rebuild,new,2026-08-06,2026-09-20,server error 503
72,"Mt. Airy Pediatrics, P.C.",https://www.mtairypediatrics.com/,doctor,phialdephia,Philadelphia,true,11,broken,rebuild,new,2026-08-06,2026-09-20,server error 503
72,Always Dental Care,https://www.alwaysdentalcare.com/,dentist,Phoenixville,Montgomery County,true,26,broken,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
72,Specialty Floors Inc.,http://www.specialtyfloors.net/,floorer,Abington,Montgomery County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
72,Colmar Dentistry For Kids,https://www.colmarkids.com/,dentist,Colmar,Montgomery County,true,24,broken,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
72,Fletcher Masonry,http://fletchermasonry.biz/,stonemason,Chadds Ford,Delaware County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
72,Moore Brothers Construction,http://moorebrosconstruction.com/,paver,Chester,Delaware County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
72,Jack McShea's Restaurant & Bar,http://mcsheasardmore.com/,pub,Ardmore,Montgomery County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
72,Fulton & Susie's Hairstyling Salon,http://fultonandsusies.com/,hairdresser,Boyertown,Montgomery County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
72,Fanta C Beauty Bar,http://fantacbeautybar.com/,beauty,Abington,Montgomery County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
72,Sprinkles Icecream,http://www.sprinklesicecreamelkinspark.com/,ice-cream,Elkins Park,Montgomery County,true,11,broken,rebuild,new,2026-08-06,2026-09-20,server error 503
69,Morton Electric Pool & Spa Specialists,http://mortonelectric.net/,plumber,Trevose,Bucks County,true,0,broken,rebuild,new,2026-08-06,2026-09-20,domain does not resolve or refused connection (ENOTFOUND)
68,Chestnut Hill Animal Hospital,http://chestnuthillvet.com/,veterinary,Erdenheim,Montgomery County,true,32,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
68,County Line Veterinary Hospital,https://www.warminsterhorshamvet.com/,veterinary,Hatboro,Montgomery County,true,33,decayed,rebuild,new,2026-08-06,2026-09-20,no viewport meta — page renders desktop-width on phones
